Product_Code,W0,W1,W2,W3,W4,W5
P1,11,12,10,8,13,12
P2,7,6,3,2,7,1
P3,7,11,8,9,10,8
P4,12,8,13,5,9,6
P5,8,5,13,11,6,7
P6,3,3,2,7,6,3
P7,4,8,3,7,8,7
P8,8,6,10,9,6,8
P9,14,9,10,7,11,15
P10,22,19,19,29,20,16
P11,15,7,15,14,17,7
P12,3,4,1,6,4,3
P13,12,10,9,6,10,11
P14,14,12,9,11,13,12
P15,19,45,47,42,29,44
P16,30,27,27,43,29,32
P17,49,40,40,28,40,47
P18,40,38,39,38,39,33
P19,26,31,45,36,31,28
P20,13,17,11,10,7,11
P21,12,5,9,8,9,6
P22,8,14,8,9,17,6
P23,3,5,4,3,3,2
P24,36,42,27,33,40,48
P25,26,28,33,32,20,33
P26,14,14,9,8,9,7
P27,44,34,33,39,34,30
P28,34,32,36,41,31,31
P29,13,10,12,17,17,11
P30,46,36,45,34,35,36
P31,7,17,6,7,9,7
P32,15,13,10,4,13,7
P33,15,12,11,17,10,18
P34,47,42,24,55,42,23
P35,34,37,26,27,49,48
P36,41,32,39,45,38,40
P37,36,39,43,42,38,37
P38,37,36,43,52,61,50
P39,31,21,28,39,53,39
P40,41,27,27,51,37,38
P41,35,27,26,43,44,38
P42,42,27,40,27,32,42
P43,28,43,40,43,54,33
P44,34,27,28,36,50,28
P45,40,29,39,34,37,23
P46,27,46,31,38,40,40
P47,40,42,27,28,33,29
P48,29,51,40,33,43,28
P49,37,28,42,38,37,35
P50,12,3,15,8,12,7
P51,19,14,17,27,14,18
P52,40,44,37,48,28,40
P53,2,5,6,8,3,1
P54,41,42,37,40,29,52
P55,34,30,42,42,29,24
P56,31,28,41,36,45,25
P57,38,26,37,43,51,39
P58,32,34,38,41,24,29
P59,5,13,10,11,10,11
P60,37,41,46,27,51,28
P61,25,30,32,47,45,50
P62,12,27,18,22,19,19
P63,37,39,54,44,30,36
P64,34,37,29,42,31,36
P65,14,10,9,10,11,9
P66,35,41,45,34,50,40
P67,36,30,38,44,47,37
P68,14,11,9,9,5,19
P69,26,43,46,39,41,31
P70,31,39,50,31,37,30
P71,7,11,10,8,10,14
P72,26,34,39,41,39,38
P73,35,30,36,46,34,29
P74,8,9,6,15,4,12
P75,34,45,37,27,40,22
P76,27,34,43,45,28,35
P77,7,7,6,2,7,5
P78,39,40,31,39,44,34
P79,37,34,45,41,37,23
P80,38,29,32,40,29,36
P81,14,6,13,5,8,13
P82,10,12,17,13,14,8
P83,46,40,34,38,36,45
P84,29,26,31,39,28,44
P85,39,34,28,38,33,37
P86,37,33,33,32,36,26
P87,30,38,35,39,37,42
P88,41,28,32,30,33,41
P89,24,26,44,31,37,37
P90,42,34,40,39,47,31
P91,10,11,7,13,5,9
P92,26,36,56,40,31,44
P93,11,9,10,13,5,11
P94,14,9,10,9,5,11
P95,12,15,15,13,17,12
P96,31,35,36,44,36,38
P97,29,37,36,40,33,29
P98,4,2,4,4,7,2
P99,16,11,9,21,9,5
P100,13,6,7,9,9,15
P101,26,51,45,47,40,36
P102,34,41,22,32,36,27
P103,7,5,7,7,14,9
P104,4,4,5,5,3,7
P105,2,3,3,2,5,4
P106,11,10,11,16,16,7
P107,19,19,15,24,16,23
P108,0,2,2,0,3,1
P109,9,8,8,5,13,9
P110,9,12,12,6,15,10
P111,5,4,7,4,4,5
P112,31,36,32,51,39,33
P113,22,26,31,37,32,25
P114,7,6,7,8,10,12
P115,9,9,12,13,14,13
P116,13,7,8,8,7,12
P117,6,2,3,3,3,2
P118,16,13,10,10,16,15
P119,30,40,46,33,28,41
P120,37,35,27,30,31,42
P121,7,10,8,10,11,10
P122,7,10,7,8,11,2
P123,5,5,3,6,4,6
P124,4,6,0,7,4,3
P125,6,9,5,10,6,9
P126,3,8,8,3,5,3
P127,4,0,2,2,2,1
P128,36,43,28,39,41,37
P129,21,36,44,47,26,33
P130,19,53,43,41,39,46
P131,29,32,32,35,49,38
P132,39,36,45,41,43,37
P133,30,48,29,38,40,42
P134,32,41,50,35,36,35
P135,38,32,36,37,42,33
P136,39,37,39,52,38,28
P137,37,41,43,41,40,47
P138,36,44,22,35,34,34
P139,32,36,32,38,47,31
P140,28,36,41,46,34,38
P141,27,45,40,34,31,35
P142,23,29,40,43,34,30
P143,31,35,29,42,31,35
P144,9,13,17,12,8,21
P145,10,12,9,9,12,6
P146,7,13,9,13,10,12
P147,10,4,9,9,15,7
P148,3,2,8,3,5,7
P149,11,9,9,6,13,8
P150,4,3,3,4,6,2
P151,3,7,8,8,6,8
P152,11,10,8,8,13,4
P153,22,9,11,10,10,5
P154,12,14,11,6,8,7
P155,5,7,4,3,4,3
P156,1,4,6,6,3,8
P157,12,8,14,7,8,10
P158,8,3,3,2,3,3
P159,2,2,9,5,2,7
P160,9,8,10,13,14,10
P161,5,6,5,7,1,3
P162,13,9,12,9,11,11
P163,6,5,6,6,7,5
P164,9,5,8,9,14,10
P165,9,13,9,16,12,9
P166,7,10,9,11,5,8
P167,33,45,42,41,32,45
P168,34,29,34,59,27,39
P169,38,31,22,43,29,25
P170,29,37,32,43,30,27
P171,6,7,13,6,4,12
P172,32,48,44,40,31,40
P173,34,25,42,47,37,40
P174,37,42,30,43,48,44
P175,30,40,48,28,30,34
P176,38,44,41,26,28,36
P177,25,38,37,48,34,40
P178,35,34,40,36,45,37
P179,44,43,35,36,39,42
P180,40,38,34,43,43,34
P181,32,44,31,38,37,36
P182,42,28,34,28,26,35
P183,25,37,42,50,18,32
P184,30,37,38,30,32,32
P185,32,28,36,40,40,50
P186,36,34,37,36,41,33
P187,31,38,47,36,36,27
P188,33,34,36,52,42,49
P189,32,34,46,30,39,51
P190,54,41,51,45,51,46
P191,48,36,42,35,44,39
P192,24,33,30,35,36,43
P193,36,22,32,45,35,44
P194,35,37,31,23,37,42
P195,4,4,7,5,5,3
P196,43,34,39,32,45,35
P197,6,8,8,16,8,11
P198,7,19,4,9,8,12
P199,4,1,1,6,3,7
P200,18,14,21,17,26,14
P201,1,3,3,5,5,5
P202,10,10,10,11,11,11
P203,9,7,3,6,6,9
P204,1,2,1,1,1,3
P205,11,7,7,13,8,6
P206,1,0,1,3,1,3
P207,2,5,8,7,3,5
P208,30,26,36,33,33,30
P209,12,6,6,11,16,12
P210,16,12,9,14,7,11
P211,15,12,9,12,14,14
P212,0,0,0,0,0,1
P213,0,0,0,0,1,0
P214,0,0,0,0,0,1
P215,0,0,0,0,0,0
P216,0,0,0,0,0,0
P217,0,0,0,0,0,0
P218,0,0,0,0,0,0
P219,0,0,0,1,0,0
P220,0,0,0,0,0,0
P221,0,0,0,0,0,0
P222,0,0,0,0,0,0
P223,0,0,0,0,0,0
P224,0,0,0,0,1,1
P225,0,0,1,0,0,1
P226,0,0,0,0,0,0
P227,1,0,0,0,0,0
P228,0,0,0,0,0,0
P229,0,0,1,0,0,0
P230,0,0,1,0,0,0
P231,0,0,0,0,0,0
P232,0,0,0,0,0,0
P233,0,0,0,0,0,0
P234,0,0,0,0,1,0
P235,0,0,0,0,0,0
P236,0,0,0,0,0,0
P237,0,0,0,0,0,0
P238,0,0,0,0,0,0
P239,0,0,1,0,0,0
P240,0,0,1,0,0,0
P241,0,0,0,0,1,0
P242,0,0,0,0,0,1
P243,0,0,0,0,0,0
P244,0,0,0,0,0,0
P245,2,0,0,0,0,0
P246,0,0,0,0,0,0
P247,1,1,0,0,0,0
P248,0,0,0,0,0,0
P249,0,0,0,0,0,0
P250,0,0,0,0,0,0
P251,0,0,0,0,0,0
P252,0,0,0,0,0,0
P253,0,0,0,0,0,0
P254,0,0,0,0,0,1
P255,1,0,1,0,1,1
P256,0,0,0,0,0,0
P257,0,0,0,0,1,1
P258,0,0,0,0,0,0
P259,0,0,0,0,0,0
P260,0,0,0,1,0,0
P261,20,36,17,19,16,23
P262,25,31,33,23,38,34
P263,18,12,20,21,12,24
P264,8,16,9,9,9,10
P265,0,1,1,5,2,1
P266,6,8,7,15,17,10
P267,8,14,14,5,8,5
P268,18,18,18,14,18,24
P269,7,11,6,12,15,11
P270,26,16,23,19,29,21
P271,3,3,4,6,1,8
P272,0,0,0,3,0,1
P273,0,0,1,0,0,0
P274,0,0,0,0,0,0
P275,0,1,0,0,0,0
P276,0,0,0,0,0,0
P277,0,0,0,0,0,0
P278,0,0,0,0,0,0
P279,0,0,0,0,0,0
P280,0,1,0,0,0,0
P281,1,0,3,1,0,0
P282,0,0,0,0,3,1
P283,0,0,0,0,0,0
P284,26,17,17,22,23,24
P285,11,12,6,6,8,12
P286,17,19,13,15,16,23
P287,0,0,0,0,1,0
P288,1,1,0,0,1,0
P289,0,1,0,0,0,0
P290,0,0,1,0,1,0
P291,2,2,5,6,4,0
P292,2,7,5,4,4,3
P293,6,3,5,2,6,4
P294,9,13,19,13,5,10
P295,3,6,3,8,8,3
P296,7,5,6,4,6,3
P297,3,4,4,1,3,3
P298,5,7,4,1,4,3
P299,10,8,12,8,15,14
P300,6,7,3,1,8,9
P301,7,1,2,3,4,5
P302,4,2,5,2,4,7
P303,3,5,8,4,3,6
P304,7,6,6,8,9,9
P305,8,7,3,1,3,2
P306,4,2,3,8,7,4
P307,4,5,6,5,3,2
P308,7,3,2,4,6,3
P309,9,5,8,8,14,7
P310,5,4,4,2,5,1
P311,8,6,1,9,5,1
P312,3,2,3,8,3,6
P313,10,1,6,5,4,7
P314,6,17,9,14,10,8
P315,5,7,2,5,7,8
P316,4,5,9,2,1,8
P317,2,3,3,7,9,7
P318,3,5,5,9,9,1
P319,5,4,11,8,10,12
P320,2,5,8,7,2,6
P321,3,6,8,5,3,3
P322,4,5,2,2,7,3
P323,3,7,2,2,2,8
P324,11,11,15,6,6,9
P325,7,6,2,3,7,3
P326,3,11,7,6,4,7
P327,2,5,4,5,5,5
P328,4,6,6,6,4,9
P329,2,6,4,9,3,7
P330,4,4,8,2,4,5
P331,7,6,6,4,5,2
P332,10,14,8,12,6,10
P333,9,9,5,8,11,13
P334,11,13,15,8,16,16
P335,6,4,2,4,3,2
P336,2,3,5,3,1,4
P337,3,6,3,1,1,7
P338,2,2,1,3,4,2
P339,0,0,1,2,4,2
P340,0,0,0,0,0,0
P341,5,1,3,1,1,3
P342,3,2,2,2,3,0
P343,0,0,2,1,0,5
P344,1,2,0,3,0,0
P345,2,3,2,0,7,1
P346,0,0,0,0,0,0
P347,1,0,0,0,0,0
P348,1,0,0,0,0,1
P349,0,0,0,0,0,0
P350,0,0,0,0,0,0
P351,0,0,0,0,0,0
P352,0,0,0,0,0,0
P354,0,0,0,0,0,0
P355,0,0,0,0,0,0
P356,4,6,4,2,2,5
P357,3,1,3,4,2,3
P358,1,1,1,0,0,0
P359,3,5,3,5,4,5
P360,0,1,2,2,1,1
P361,6,3,3,2,3,0
P362,1,0,0,1,1,1
P363,2,1,0,0,0,0
P364,10,18,10,8,11,18
P365,6,5,5,1,5,2
P366,2,2,8,3,5,3
P367,0,2,2,1,1,5
P368,0,5,5,3,2,2
P369,3,2,2,3,3,7
P370,6,2,3,5,11,5
P371,2,4,3,1,2,2
P372,1,2,0,1,2,4
P373,0,3,0,0,1,1
P374,1,1,2,2,1,0
P375,1,0,1,0,0,0
P376,0,0,0,0,0,0
P377,1,0,0,0,0,0
P378,0,0,0,0,0,0
P379,0,1,0,0,0,0
P380,0,0,0,0,0,0
P381,0,0,0,0,1,0
P382,0,0,0,0,0,0
P383,0,0,0,0,0,0
P384,1,0,0,1,0,1
P386,0,0,0,0,0,0
P387,5,3,0,1,9,5
P388,5,2,1,1,1,2
P389,2,3,4,4,0,1
P390,4,4,3,2,3,1
P391,0,1,0,4,3,0
P392,3,3,7,5,5,4
P393,1,0,1,0,2,2
P394,1,4,2,9,1,2
P395,1,1,0,2,2,0
P396,0,1,1,4,3,1
P397,10,7,8,13,7,10
P398,14,12,10,8,14,8
P399,17,11,8,9,8,5
P400,20,11,19,16,22,20
P401,3,5,5,7,2,2
P402,1,0,6,0,3,4
P403,12,8,12,9,12,18
P404,11,8,7,9,11,6
P405,23,12,16,22,18,18
P406,6,12,17,15,14,18
P407,22,23,10,19,16,26
P408,7,10,8,9,13,8
P409,42,48,38,43,35,39
P410,6,13,16,9,18,16
P411,16,17,12,10,23,14
P412,4,2,4,8,5,3
P413,4,6,8,7,12,11
P414,2,2,1,1,5,2
P415,2,4,2,3,6,7
P416,1,1,1,0,0,0
P417,0,0,0,1,0,0
P418,0,0,0,0,1,0
P419,0,0,1,0,0,0
P420,0,0,0,0,0,1
P421,0,0,0,0,0,0
P422,1,1,0,1,0,0
P423,0,0,0,0,0,0
P424,0,0,1,0,1,0
P425,0,0,0,0,0,0
P426,0,0,1,0,0,0
P427,0,0,0,0,0,0
P428,0,0,0,0,0,0
P429,16,9,9,10,7,11
P430,13,8,14,12,15,12
P431,3,6,4,2,5,6
P432,6,7,6,5,6,5
P433,2,4,5,3,2,2
P434,2,0,7,1,3,2
P435,21,16,17,17,14,13
P436,14,5,6,12,10,6
P437,7,4,13,6,3,7
P438,1,1,0,0,2,0
P439,1,0,0,0,0,1
P440,1,0,0,0,0,0
P441,0,0,1,0,1,0
P442,0,0,1,0,0,0
P443,0,1,1,1,0,0
P444,0,0,0,0,0,0
P445,0,0,0,0,0,0
P446,0,1,1,0,0,0
P447,0,0,0,0,0,0
P448,0,2,0,2,1,0
P449,0,0,0,0,0,0
P450,1,0,0,0,1,3
P451,1,0,0,0,0,0
P452,0,0,0,0,1,0
P453,0,0,0,0,1,0
P454,0,0,0,0,0,0
P455,0,0,1,0,0,0
P456,0,0,0,2,0,0
P457,0,0,0,0,0,0
P458,0,0,0,0,0,0
P459,0,1,0,0,0,0
P460,1,0,0,0,1,0
P461,0,0,0,0,0,0
P462,0,0,0,0,0,1
P463,0,0,0,1,0,0
P464,0,0,0,0,0,0
P465,0,0,0,0,1,0
P466,0,0,0,0,0,0
P467,0,0,0,0,0,0
P468,0,0,0,0,0,0
P469,0,0,0,0,0,0
P470,0,0,0,0,0,0
P471,0,0,0,0,0,0
P472,0,0,1,0,0,1
P473,0,0,0,0,0,1
P474,0,0,0,0,0,0
P475,3,5,1,2,2,3
P476,1,0,1,1,3,0
P477,1,0,1,0,0,1
P478,1,0,0,2,3,0
P479,0,3,1,1,0,2
P480,0,0,0,0,0,0
P481,1,2,0,0,0,0
P482,0,0,1,0,1,0
P483,0,0,0,0,2,1
P484,3,5,3,6,10,5
P485,15,9,8,11,12,12
P486,16,30,25,11,23,19
P487,7,10,15,12,14,10
P488,10,11,10,9,9,14
P489,5,8,4,8,6,5
P490,6,7,6,12,13,9
P491,19,20,27,23,19,30
P492,9,14,14,13,5,16
P493,9,9,12,5,11,10
P494,6,13,12,15,16,19
P495,16,15,27,14,19,12
P496,5,3,13,11,10,9
P497,5,4,4,3,2,2
P498,4,4,6,8,8,1
P499,11,13,12,18,8,9
P500,8,8,3,4,13,9
P501,4,5,4,2,6,5
P502,11,15,19,15,14,11
P503,13,19,15,13,22,23
P504,10,13,11,5,13,12
P505,23,4,16,24,19,15
P506,23,16,9,11,16,19
P507,11,27,11,22,9,15
P508,9,10,9,12,11,17
P509,9,5,5,2,9,3
P510,9,4,10,6,5,11
P511,25,23,30,33,20,27
P512,17,17,16,16,27,18
P513,22,23,25,21,25,17
P514,7,14,13,11,9,19
P515,10,15,15,14,12,8
P516,24,18,15,21,20,19
P517,15,15,11,11,20,16
P518,15,6,14,12,11,18
P519,30,26,16,16,23,30
P520,9,12,11,16,8,9
P521,8,14,14,11,14,12
P522,12,15,16,10,19,11
P523,8,14,12,16,18,9
P524,14,9,10,7,11,8
P525,15,12,15,15,5,7
P526,9,13,15,18,15,10
P527,7,18,11,14,9,16
P528,9,9,10,5,13,22
P529,13,17,15,11,13,14
P530,20,11,22,14,15,20
P531,4,8,3,2,4,5
P532,15,5,10,8,12,8
P533,28,33,21,37,20,28
P534,6,10,9,7,7,9
P535,15,26,11,15,19,15
P536,14,9,13,13,3,21
P537,20,16,17,20,19,20
P538,7,7,13,14,11,11
P539,9,10,14,7,5,16
P540,23,19,21,23,20,21
P541,11,17,5,14,10,10
P542,12,14,7,13,11,13
P543,9,6,16,9,6,15
P544,15,10,14,7,12,13
P545,13,13,15,14,13,22
P546,10,14,13,11,9,13
P547,9,6,11,5,9,17
P548,32,28,39,36,47,40
P549,35,29,40,32,33,30
P550,11,10,6,11,11,19
P551,5,8,12,10,9,8
P552,15,9,10,8,11,15
P553,2,2,3,7,5,4
P554,24,15,32,28,22,21
P555,10,16,17,8,11,12
P556,15,11,26,15,13,11
P557,28,23,35,34,33,27
P558,15,10,15,13,16,8
P559,11,13,4,19,10,13
P560,9,9,3,7,11,8
P561,6,5,1,3,1,7
P562,6,5,0,4,4,4
P563,5,19,5,11,10,15
P564,13,4,8,9,6,10
P565,4,7,10,11,8,13
P566,24,26,22,24,20,13
P567,3,7,1,9,6,5
P568,4,2,1,5,2,2
P569,1,3,4,1,2,1
P570,2,2,0,2,0,2
P571,4,3,6,6,4,6
P572,2,0,0,0,1,3
P573,1,2,4,4,2,2
P574,0,1,0,0,0,0
P575,0,0,0,0,0,0
P576,0,0,0,1,0,0
P577,1,1,0,1,1,0
P578,1,0,1,0,0,0
P579,0,0,0,0,1,0
P580,1,5,4,7,2,5
P581,2,2,5,2,2,8
P582,3,4,2,3,5,1
P583,2,1,4,1,3,3
P584,2,3,2,6,2,2
P585,1,0,1,1,2,0
P586,7,2,4,6,8,8
P587,4,4,2,5,2,3
P588,5,2,1,0,1,2
P589,0,1,1,0,2,1
P590,3,4,4,6,4,4
P591,2,2,2,2,1,3
P592,2,0,0,1,0,0
P593,4,5,1,4,0,1
P594,1,2,3,5,3,4
P595,1,2,3,3,1,5
P596,2,3,5,4,3,3
P597,1,2,0,0,2,1
P598,10,6,6,15,10,14
P599,2,1,1,1,3,2
P600,0,1,3,1,1,1
P601,0,0,1,0,1,1
P602,0,0,0,1,1,0
P603,0,1,0,0,1,0
P604,0,0,0,0,0,0
P605,1,3,2,1,4,1
P606,1,1,0,1,1,1
P607,0,1,0,0,0,0
P608,1,1,0,0,0,0
P609,0,0,2,1,8,4
P610,6,3,1,4,5,1
P611,3,1,2,7,3,0
P612,14,11,13,9,13,14
P613,18,26,12,17,23,15
P614,4,4,2,3,4,6
P615,17,16,19,20,19,19
P616,6,6,3,2,6,2
P617,36,33,40,46,39,39
P618,40,35,49,31,34,45
P619,38,31,31,41,41,36
P620,31,27,37,29,34,39
P621,31,33,29,38,36,27
P622,29,33,39,40,40,37
P623,38,27,36,36,35,39
P624,5,10,13,6,12,10
P625,11,6,11,15,7,12
P626,10,6,8,13,9,16
P627,12,11,12,9,11,8
P628,7,6,13,9,11,5
P629,10,9,11,12,6,11
P630,11,11,8,12,26,5
P631,8,4,13,14,12,5
P632,13,11,14,9,11,14
P633,5,7,16,16,11,12
P634,6,8,13,10,11,12
P635,14,8,11,10,6,9
P636,6,15,9,14,18,7
P637,2,4,3,7,4,4
P638,15,7,10,18,21,8
P639,0,1,0,0,1,0
P640,14,20,15,11,10,20
P641,0,5,0,2,6,2
P642,5,3,4,2,2,2
P643,0,0,0,0,0,0
P644,0,0,0,0,0,0
P646,0,0,0,0,0,0
P647,0,0,0,0,0,0
P649,0,0,0,0,0,0
P650,0,0,0,0,0,0
P651,0,0,0,0,0,0
P652,0,0,0,0,0,0
P653,0,0,0,1,0,0
P654,0,0,0,0,0,0
P655,0,1,0,0,0,0
P656,0,0,0,0,0,0
P657,0,0,0,0,0,0
P658,0,0,0,0,0,0
P659,0,0,0,1,0,0
P660,0,0,0,1,0,0
P661,0,0,0,0,0,0
P662,0,0,0,0,0,0
P663,0,0,0,2,0,0
P664,0,0,0,0,0,0
P665,0,0,0,0,0,0
P666,1,0,0,0,0,0
P667,1,0,0,0,0,0
P668,1,0,0,0,0,0
P669,0,0,0,0,0,0
P670,0,0,0,0,0,0
P671,1,0,0,0,0,0
P672,0,0,0,0,0,0
P673,1,3,1,2,3,0
P674,4,4,8,7,2,6
P675,2,1,4,0,2,5
P676,1,1,3,2,5,4
P677,0,1,0,0,0,0
P678,0,0,0,0,0,0
P679,1,0,0,0,0,0
P680,0,0,0,0,0,0
P681,0,1,0,0,0,0
P682,0,0,0,0,0,0
P683,0,0,0,0,0,0
P684,0,0,0,0,0,0
P685,0,0,0,0,0,0
P686,2,4,0,1,2,4
P687,1,0,0,0,0,1
P688,0,0,0,0,1,0
P689,0,0,1,0,1,0
P690,0,0,0,0,2,0
P691,0,0,0,0,1,0
P692,0,2,3,0,2,3
P693,2,3,4,2,4,4
P694,0,0,0,0,0,0
P695,0,0,0,0,0,0
P696,0,0,0,0,0,1
P697,0,0,0,0,0,0
P698,2,2,2,1,0,2
P699,0,0,0,0,0,0
P700,1,0,0,5,0,1
P701,5,3,1,2,1,3
P702,3,1,4,4,4,6
P703,2,3,4,4,0,3
P704,0,0,2,1,0,0
P705,1,3,0,1,4,3
P706,0,0,0,0,0,1
P707,1,0,0,0,0,1
P708,0,1,0,0,0,0
P711,0,0,0,1,0,0
P712,0,0,0,0,0,0
P713,0,2,0,0,0,0
P714,0,0,0,0,1,1
P715,0,0,0,0,0,0
P716,1,0,0,0,1,0
P717,0,0,0,0,0,0
P718,0,2,0,0,0,1
P719,0,0,0,0,0,0
P720,0,0,0,0,0,0
P721,0,0,0,0,0,0
P722,0,0,0,0,0,0
P724,0,0,0,0,0,0
P726,0,1,0,2,2,2
P727,2,0,4,1,4,2
P728,1,0,1,1,0,1
P729,0,0,0,0,0,0
P730,0,1,0,0,0,0
P731,0,0,0,1,0,0
P732,0,1,1,1,1,1
P733,0,0,0,0,2,0
P734,1,0,0,1,0,0
P735,0,0,0,0,0,0
P736,1,1,0,0,0,2
P737,0,0,3,1,0,1
P738,0,0,0,0,0,0
P739,0,0,0,1,0,0
P740,0,0,0,0,1,0
P741,0,0,0,0,0,0
P742,0,0,1,0,1,1
P743,1,1,3,0,2,0
P744,0,0,0,1,0,0
P745,2,10,6,2,2,2
P746,1,0,0,0,1,2
P747,1,1,1,0,4,1
P748,0,1,1,0,0,3
P749,1,0,0,0,1,0
P750,0,0,0,0,0,1
P751,0,2,0,1,0,0
P752,4,0,2,3,2,2
P753,1,0,0,0,0,0
P754,0,0,0,0,0,0
P755,0,0,0,0,0,0
P756,0,0,1,0,0,0
P757,0,0,0,0,0,0
P758,0,0,0,0,0,0
P759,0,0,0,1,0,0
P760,0,0,0,0,0,0
P761,0,0,0,0,0,0
P762,2,3,2,1,0,2
P763,0,0,0,0,0,0
P764,1,2,5,3,0,3
P765,0,0,0,0,0,0
P766,0,1,1,0,0,1
P767,0,0,1,1,0,2
P768,0,0,2,8,2,5
P769,0,0,2,3,0,1
P770,2,0,0,0,0,1
P771,0,0,0,0,0,0
P772,0,0,0,0,1,1
P773,0,0,0,0,0,0
P774,0,0,0,0,0,0
P775,0,0,0,0,0,0
P776,0,0,0,0,0,0
P777,0,0,1,0,0,0
P778,0,0,0,0,0,0
P779,0,0,1,0,0,0
P780,0,0,0,0,0,0
P781,9,13,15,15,16,17
P782,5,7,4,6,2,2
P783,15,12,7,16,18,9
P784,3,1,2,1,3,4
P785,3,1,4,0,1,1
P786,1,2,2,2,1,0
P787,1,0,2,0,1,1
P788,4,3,3,5,1,4
P789,2,1,1,6,1,4
P790,3,1,5,2,0,4
P791,4,3,4,2,6,6
P792,0,1,0,1,0,3
P793,0,1,1,4,2,1
P794,0,0,1,0,0,0
P795,0,0,0,1,0,0
P796,2,5,0,3,3,0
P797,2,3,2,2,2,3
P798,6,0,3,1,0,2
P799,3,3,5,3,5,4
P800,3,2,1,0,0,0
P801,3,2,0,3,2,3
P802,1,1,1,0,3,2
P803,3,2,3,3,7,3
P804,2,2,5,3,1,4
P805,0,6,3,2,5,2
P806,4,5,7,4,7,2
P807,0,0,2,0,1,0
P808,0,3,3,3,1,2
P809,0,1,0,1,1,0
P810,0,0,1,0,0,0
P811,5,1,3,5,4,4
P812,3,2,0,0,2,1
P813,1,1,1,3,2,2
P814,4,2,2,6,0,4
P815,0,0,1,0,0,2
P816,0,1,0,0,1,2
P817,1,0,0,0,1,1
P818,0,0,0,1,0,0
P819,0,1,0,0,0,0
